26-06-07 01:24:09: Training starting...
global_step=87760, episodic_return=-100.6
global_step=87836, episodic_return=-102.7
global_step=88020, episodic_return=-106.6
global_step=88196, episodic_return=-103.6
global_step=88448, episodic_return=-95.7
global_step=88612, episodic_return=-101.9
global_step=88796, episodic_return=-105.5
global_step=88848, episodic_return=-103.4
global_step=89052, episodic_return=-233.9
global_step=89060, episodic_return=-108.1
global_step=89188, episodic_return=-102.2
global_step=89292, episodic_return=-104.7
global_step=89300, episodic_return=-104.9
global_step=89500, episodic_return=-100.0
global_step=89544, episodic_return=-101.9
global_step=89544, episodic_return=-111.5
global_step=89704, episodic_return=-213.5
global_step=89796, episodic_return=-103.8
global_step=89836, episodic_return=-99.6
global_step=89852, episodic_return=-103.0
global_step=90140, episodic_return=-103.6
global_step=90148, episodic_return=-101.6
global_step=90272, episodic_return=-100.5
global_step=90416, episodic_return=-102.4
global_step=90552, episodic_return=-135.9
global_step=90572, episodic_return=-98.4
global_step=90896, episodic_return=-101.7
global_step=90924, episodic_return=-99.9
global_step=90988, episodic_return=-134.2
global_step=90988, episodic_return=-99.9
global_step=91384, episodic_return=-98.6
global_step=91476, episodic_return=-97.5
global_step=91920, episodic_return=-128.7
global_step=91948, episodic_return=-97.8
global_step=92400, episodic_return=-95.8
global_step=92544, episodic_return=-99.7
global_step=92876, episodic_return=-96.7
global_step=92984, episodic_return=-104.1
global_step=93404, episodic_return=-103.0
global_step=93492, episodic_return=-133.2
global_step=94016, episodic_return=-99.2
global_step=94172, episodic_return=-140.4
global_step=94484, episodic_return=-100.0
global_step=94660, episodic_return=-98.3
global_step=94724, episodic_return=-150.4
global_step=95068, episodic_return=-93.3
global_step=95112, episodic_return=-102.4
global_step=95156, episodic_return=-103.0
global_step=95320, episodic_return=-102.1
global_step=95628, episodic_return=-100.3
global_step=95648, episodic_return=-98.2
global_step=95732, episodic_return=-100.2
global_step=95920, episodic_return=-178.9
global_step=95972, episodic_return=-116.1
global_step=96112, episodic_return=-98.3
global_step=96236, episodic_return=-97.3
global_step=96396, episodic_return=-100.0
global_step=96652, episodic_return=-102.0
global_step=96668, episodic_return=-105.3
global_step=96892, episodic_return=-102.4
global_step=96940, episodic_return=-97.4
global_step=97260, episodic_return=-103.1
global_step=97312, episodic_return=-105.7
global_step=97664, episodic_return=-104.1
global_step=102320, episodic_return=-91.6
global_step=103052, episodic_return=-93.9
global_step=103660, episodic_return=-111.0
global_step=104064, episodic_return=-94.3
global_step=108720, episodic_return=-150.6
global_step=109452, episodic_return=-143.9
global_step=110060, episodic_return=-138.3
global_step=110464, episodic_return=-142.4
global_step=115120, episodic_return=-126.9
global_step=115516, episodic_return=-119.8
global_step=115852, episodic_return=-121.8
global_step=116144, episodic_return=-125.6
global_step=116372, episodic_return=-101.5
global_step=116460, episodic_return=-121.5
global_step=116864, episodic_return=-122.3
global_step=117048, episodic_return=-107.4
global_step=117416, episodic_return=-103.6
global_step=117980, episodic_return=-108.3
global_step=119736, episodic_return=-153.7
global_step=120184, episodic_return=-100.7
global_step=120416, episodic_return=-115.5
global_step=121916, episodic_return=-98.1
global_step=122772, episodic_return=-92.3
global_step=122860, episodic_return=-99.9
global_step=123096, episodic_return=-108.5
global_step=124072, episodic_return=-124.9
global_step=124228, episodic_return=-114.6
global_step=124392, episodic_return=-119.1
global_step=124700, episodic_return=-105.2
global_step=124872, episodic_return=-118.7
global_step=125052, episodic_return=-119.4
global_step=125228, episodic_return=-118.2
global_step=125408, episodic_return=-118.7
global_step=125588, episodic_return=-115.2
global_step=126816, episodic_return=-107.9
global_step=128316, episodic_return=-136.3
global_step=129172, episodic_return=-114.9
global_step=131988, episodic_return=-127.3
global_step=133216, episodic_return=-111.2
global_step=134716, episodic_return=-118.7
global_step=135572, episodic_return=-108.0
global_step=138388, episodic_return=-107.4
global_step=139616, episodic_return=-103.6
global_step=141116, episodic_return=-104.1
global_step=141972, episodic_return=-106.5
global_step=143212, episodic_return=-160.0
global_step=144688, episodic_return=-136.2
global_step=146016, episodic_return=-75.9
global_step=146684, episodic_return=-150.7
global_step=149612, episodic_return=-85.1
global_step=149952, episodic_return=-106.3
global_step=151088, episodic_return=-79.5
global_step=152416, episodic_return=-77.3
global_step=152676, episodic_return=-158.8
global_step=156032, episodic_return=-153.6
global_step=156388, episodic_return=-98.6
global_step=157488, episodic_return=-112.7
global_step=158816, episodic_return=-102.0
global_step=159076, episodic_return=-109.4
global_step=162340, episodic_return=-143.9
global_step=162788, episodic_return=-108.7
global_step=163888, episodic_return=-69.4
global_step=165476, episodic_return=-99.0
global_step=168740, episodic_return=-113.7
global_step=169144, episodic_return=-132.0
global_step=169188, episodic_return=-113.1
global_step=170288, episodic_return=-87.0
global_step=175140, episodic_return=-116.6
global_step=175544, episodic_return=-109.3
global_step=175588, episodic_return=-114.4
global_step=175848, episodic_return=-110.4
global_step=176688, episodic_return=-93.4
global_step=176928, episodic_return=-114.4
global_step=177156, episodic_return=-110.9
global_step=177828, episodic_return=-102.9
global_step=178492, episodic_return=-111.4
global_step=180364, episodic_return=-166.2
global_step=180564, episodic_return=-103.8
global_step=180824, episodic_return=-110.9
global_step=181396, episodic_return=-188.5
global_step=181540, episodic_return=-112.1
global_step=181756, episodic_return=-111.4
global_step=182596, episodic_return=-112.7
global_step=183028, episodic_return=-106.9
